Location,Xylem Type,Species name,Sample number,Sample length,wood density,SW/DW,SWC,Ks,Mean-Ks,max-Ks ,Dv,Dh,VAF,VF,P,P_g, K,Fd,Removed K,removed Fd
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,7.523025716,8.19,7.6,NA,NA,NA,NA,0.07,0.0348,0.640141171,261.9959205,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,12.12671778,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.02,0.0106,0.363012158,128.3250559,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,14.95318,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.03,0.0159,0.554376238,237.3520635,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,14.54375814,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.04,0.0212,0.633065187,307.804405,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,12.82864169,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.05,0.0265,0.590686795,339.3820553,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,10.4957809,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.06,0.0317,0.587506549,333.1993935,,
T,DP,Dipterocarpus tonkinensis,5,189,0.664265346,1.682557614,0.68,10.90235788,14.95,12.64,154.1763169,192.0962426,17.24264954,8.544133485,0.07,0.037,0.638975501,403.7910325,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,10.18704662,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.02,0.0125,0.400770591,127.3380827,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,13.57665658,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.03,0.0188,0.616470108,254.5623109,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,13.04967308,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.04,0.025,0.697078686,326.2418269,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,13.47932728,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.05,0.0313,0.782093882,421.2289776,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,12.30669139,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.06,0.0375,0.779027419,461.5009271,,
T,DP,Dipterocarpus tonkinensis,6,160,0.692574902,1.667241379,0.67,12.95654477,13.58,12.59,148.1590348,191.592773,15.31127569,7.983831554,0.07,0.0438,0.832105844,566.8488338,,
T,DP,Hopea hongaychsis,1,130,NA,NA,NA,4.16,3.95,4.54,NA,NA,NA,NA,0.02,0.0154,0.07,50.83,,
T,DP,Hopea hongaychsis,1,130,NA,NA,NA,3.72,3.95,4.54,NA,NA,NA,NA,0.03,0.0231,0.15,68.07,,
